time [сек];Mz;epsilon;omega;alpha;Iт;delta_р.в.;Mzp;V;Lp
0.0;1.7763568394002505e-15;0.0;0.0;4.0;38.8;-5.28;0;0;0
0.001;1.7763568394002505e-15;2.5734878146025597e-14;2.5734878146025597e-17;4.0;38.8;-5.28;0;0;0
0.002;1.7763568394002505e-15;2.5734878146025597e-14;5.1469756292051194e-17;4.0;38.8;-5.28;0;0;0
0.003;1.7763568394002505e-15;2.5734878146025597e-14;7.72046344380768e-17;4.0;38.8;-5.28;0;0;0
0.004;1.7763568394002505e-15;2.5734878146025597e-14;1.0293951258410239e-16;4.0;38.8;-5.28;0;0;0
0.005;1.7763568394002505e-15;2.5734878146025597e-14;1.28674390730128e-16;4.0;38.8;-5.28;0;0;0
0.006;1.7763568394002505e-15;2.5734878146025597e-14;1.544092688761536e-16;4.0;38.8;-5.28;0;0;0
0.007;1.7763568394002505e-15;2.5734878146025597e-14;1.8014414702217918e-16;4.0;38.8;-5.28;0;0;0
0.008;1.7763568394002505e-15;2.5734878146025597e-14;2.0587902516820478e-16;4.0;38.8;-5.28;0;0;0
0.009;1.7763568394002505e-15;2.5734878146025597e-14;2.316139033142304e-16;4.0;38.8;-5.28;0;0;0
0.01;1.7763568394002505e-15;2.5734878146025597e-14;2.57348781460256e-16;4.0;38.8;-5.28;0;0;0
0.011;1.7763568394002505e-15;2.5734878146025597e-14;2.830836596062816e-16;4.0;38.8;-5.28;0;0;0
0.012;1.7763568394002505e-15;2.5734878146025597e-14;3.088185377523072e-16;4.0;38.8;-5.28;0;0;0
0.013;1.7763568394002505e-15;2.5734878146025597e-14;3.3455341589833277e-16;4.0;38.8;-5.28;0;0;0
0.014;1.7763568394002505e-15;2.5734878146025597e-14;3.6028829404435836e-16;4.0;38.8;-5.28;0;0;0
0.015;1.7763568394002505e-15;2.5734878146025597e-14;3.8602317219038396e-16;4.0;38.8;-5.28;0;0;0
0.016;1.7763568394002505e-15;2.5734878146025597e-14;4.1175805033640955e-16;4.0;38.8;-5.28;0;0;0
0.017;1.7763568394002505e-15;2.5734878146025597e-14;4.3749292848243514e-16;4.0;38.8;-5.28;0;0;0
0.018;1.7763568394002505e-15;2.5734878146025597e-14;4.632278066284608e-16;4.0;38.8;-5.28;0;0;0
0.019;1.7763568394002505e-15;2.5734878146025597e-14;4.889626847744864e-16;4.0;38.8;-5.28;0;0;0
0.02;1.7763568394002505e-15;2.5734878146025597e-14;5.146975629205121e-16;4.0;38.8;-5.28;0;0;0
0.021;1.7763568394002505e-15;2.5734878146025597e-14;5.404324410665377e-16;4.0;38.8;-5.28;0;0;0
0.022;1.7763568394002505e-15;2.5734878146025597e-14;5.661673192125634e-16;4.0;38.8;-5.28;0;0;0
0.023;1.7763568394002505e-15;2.5734878146025597e-14;5.91902197358589e-16;4.0;38.8;-5.28;0;0;0
